title,year,runtime,rating,votes
Game of Thrones,2011,55 mins.,9.5,748557
Breaking Bad,2011,45 mins.,9.5,662459
The Walking Dead,2011,44 mins.,8.7,500301
The Big Bang Theory,2011,22 mins.,8.5,438226
Dexter,2011,55 mins.,8.9,419031
How I Met Your Mother,2011,22 mins.,8.5,377971
Friends,2011,22 mins.,9,365611
Sherlock,2011,90 mins.,9.3,365419
Lost,2011,44 mins.,8.5,317981
Prison Break,2011,44 mins.,8.6,259384
House M.D.,2011,44 mins.,8.9,253142
Supernatural,2011,44 mins.,8.7,232424
True Detective,2011,55 mins.,9.3,223407
Arrow,2011,42 mins.,8.2,213631
The Simpsons,2011,22 mins.,8.9,210708
House of Cards,2011,55 mins.,9.1,203278
Family Guy,2011,22 mins.,8.4,202732
Modern Family,2011,22 mins.,8.6,193819
South Park,2011,22 mins.,8.8,193282
True Blood,2011,55 mins.,8,190292
The Vampire Diaries,2011,43 mins.,8,186601
Homeland,2011,55 mins.,8.5,182903
Suits,2011,44 mins.,8.8,181608
Heroes,2011,45 mins.,7.7,181308
Arrested Development,2011,22 mins.,9.1,180399
Two and a Half Men,2011,22 mins.,7.2,173194
Scrubs,2011,22 mins.,8.5,163632
The Office,2011,22 mins.,8.8,161733
Firefly,2011,44 mins.,9.2,156002
Fringe,2011,60 mins.,8.5,154733
American Horror Story,2011,60 mins.,8.4,152715
The Sopranos,2011,55 mins.,9.3,151341
The Wire,2011,55 mins.,9.4,150527
Spartacus: War of the Damned,2011,55 mins.,8.7,147077
Sons of Anarchy,2011,45 mins.,8.7,142103
Once Upon a Time,2011,44 mins.,8.1,139045
Seinfeld,2011,22 mins.,9,138356
Grey&#x27;s Anatomy,2011,41 mins.,7.7,134407
Californication,2011,28 mins.,8.4,128697
24,2011,44 mins.,8.5,128282
Orange Is the New Black,2011,55 mins.,8.4,124683
Doctor Who,2011,45 mins.,8.9,122209
Community,2011,22 mins.,8.6,122141
Futurama,2011,22 mins.,8.7,119726
Vikings,2011,44 mins.,8.6,118757
Mad Men,2011,45 mins.,8.7,117210
The Mentalist,2011,43 mins.,8.1,115613
Boardwalk Empire,2011,55 mins.,8.7,115307
New Girl,2011,30 mins.,7.8,114369
Entourage,2011,28 mins.,8.6,114150
Hannibal,2011,44 mins.,8.6,113254
It&#x27;s Always Sunny in Philadelphia,2011,22 mins.,8.8,110691
Glee,2011,44 mins.,6.8,109456
The X-Files,2011,44 mins.,8.8,106676
Battlestar Galactica,2011,44 mins.,8.8,104676
Castle,2011,43 mins.,8.3,100196
That &#x27;70s Show,2011,22 mins.,8.1,99830
Avatar: The Last Airbender,2011,23 mins.,9.2,98829
Chuck,2011,43 mins.,8.3,98206
Gossip Girl,2011,42 mins.,7.4,97611
Bones,2011,40 mins.,8,93849
Person of Interest,2011,43 mins.,8.5,93133
Rome,2011,90 mins.,8.9,92191
Criminal Minds,2011,42 mins.,8.2,91606
Agents of S.H.I.E.L.D.,2011,45 mins.,7.5,91167
Pretty Little Liars,2011,60 mins.,7.9,90552
Buffy the Vampire Slayer,2011,44 mins.,8.2,89507
Downton Abbey,2011,65 mins.,8.8,89222
Revenge,2011,44 mins.,8,88397
Fargo,2011,53 mins.,9,87925
Smallville,2011,60 mins.,7.5,86475
Twin Peaks,2011,47 mins.,9,86213
Parks and Recreation,2011,22 mins.,8.6,84962
Desperate Housewives,2011,45 mins.,7.4,84109
Malcolm in the Middle,2011,30 mins.,8,82896
30 Rock,2011,22 mins.,8.3,82369
White Collar,2011,40 mins.,8.3,78798
Weeds,2011,30 mins.,8.1,78601
Lie to Me,2011,43 mins.,8,78285
Six Feet Under,2011,55 mins.,8.8,77174
My Name Is Earl,2011,30 mins.,7.8,76180
The Fresh Prince of Bel-Air,2011,22 mins.,8,75975
Freaks and Geeks,2011,44 mins.,9,75505
The IT Crowd,2011,25 mins.,8.6,74985
Death Note,2011,24 mins.,9,72845
Shameless,2011,46 mins.,8.7,72042
NCIS,2011,60 mins.,8,71299
The Flash,2011,43 mins.,8.2,71276
Sex and the City,2011,30 mins.,6.9,69620
Married with Children,2011,22 mins.,8.1,69074
The Blacklist,2011,43 mins.,8.2,68418
Gotham,2011,42 mins.,8.1,67356
American Dad!,2011,22 mins.,7.6,67123
Grimm,2011,45 mins.,7.8,66724
The Newsroom,2011,55 mins.,8.7,66060
Under the Dome,2011,43 mins.,7,65405
Revolution,2011,43 mins.,6.7,65128
Teen Wolf,2011,41 mins.,7.8,64802
The Following,2011,43 mins.,7.5,64392
Misfits,2011,60 mins.,8.4,63756
Terra Nova,2011,46 mins.,6.8,63664
Falling Skies,2011,42 mins.,7.3,62934
CSI: Crime Scene Investigation,2011,60 mins.,7.8,61717
Archer,2011,22 mins.,8.9,61639
Psych,2011,44 mins.,8.4,60423
Leyla and Mecnun,2011,80 mins.,9.2,60243
2 Broke Girls,2011,22 mins.,7,58613
The O.C.,2011,44 mins.,7.5,58268
Top Gear,2011,60 mins.,9,57423
Better Call Saul,2011,60 mins.,9.2,57815
Elementary,2011,60 mins.,8,55984
The Killing,2011,45 mins.,8.2,55911
Dragon Ball Z,2011,24 mins.,8.9,55784
Curb Your Enthusiasm,2011,28 mins.,8.8,55734
Oz,2011,55 mins.,8.9,55305
The Office,2011,30 mins.,8.7,54959
Burn Notice,2011,44 mins.,8,54436
Deadwood,2011,55 mins.,8.8,53288
Stargate SG-1,2011,44 mins.,8.5,53234
Justified,2011,44 mins.,8.7,53199
The King of Queens,2011,22 mins.,7.4,52913
The Legend of Korra,2011,23 mins.,8.7,52399
Gilmore Girls,2011,44 mins.,8,52065
Skins,2011,46 mins.,8.2,52018
Star Trek: The Next Generation,2011,44 mins.,8.7,51752
FlashForward,2011,60 mins.,7.6,51517
Veronica Mars,2011,60 mins.,8.4,50981
The Originals,2011,45 mins.,8.5,50959
One Tree Hill,2011,60 mins.,7.7,50252
Merlin,2011,45 mins.,7.9,49550
Luther,2011,60 mins.,8.6,49134
Frasier,2011,60 mins.,8,48821
SpongeBob SquarePants,2011,30 mins.,8.1,48519
Charmed,2011,42 mins.,7.1,48215
Terminator: The Sarah Connor Chronicles,2011,60 mins.,7.7,48086
The 100,2011,43 mins.,7.8,47995
